key,zh-CN (source),en (translate this),notes
work.p3.line,用户 · 骑士 · 平台三方系统的体验与效率重构。,,
work.p4.src,Tencent · 腾讯地图,Tencent Maps,
work.p4.title,地图组件体系,,
work.p4.line,从分散设计资产到可复用 · 可演进的设计基础设施。,,
work.p5.src,iQIYI · 爱奇艺国际,iQIYI International,
work.p5.title,沉浸式观影体验,,
work.p5.line,"从""易用""到""沉浸""：在内容消费节奏与付费链路之间重建感知秩序。",,
work.p6.src,Long-term · 复杂业务,Long-term · Complex Business,
work.p6.title,设计工作体系,,
work.p6.line,"从""做页面""到""做系统""：让设计资源在复杂业务里持续创造价值。",,
contact.heading,联系,Contact,
contact.sub,合作、招聘、或安静的交流。,"For collaborations, work inquiries, or quiet conversations.",
contact.statement,当前正在<em>寻找一个好产品</em> — 接受设计 Leader、Founding Design、AI Native 方向的产品角色。,"Currently <em>looking for a good product</em> — open to design leadership, founding design, and AI-native product roles.",⚠ preserve HTML tags
foot.quote,我设计的，是帮助人们理解复杂性的东西。,I design things that help people understand complexity.,
case.subtitle.1,快手 · 人才全景评价 · 组织决策系统重构,,
case.subtitle.2,快手 · 数据图表选型决策引擎,,
case.subtitle.3,顺丰同城 · 履约系统的体验治理,,
case.subtitle.4,腾讯地图 · 组件库与设计基础设施,,
case.subtitle.5,爱奇艺国际 · 沉浸式观影 × VIP 付费链路体验,,
case.subtitle.6,长期复杂业务 · 设计工作体系与设计度量,,
case.engine_pdf_fallback,当前浏览器无法内嵌预览此 PDF，请使用右上角 <b>Open</b> / <b>Download</b> 查看。,,⚠ preserve HTML tags
case.thinking.center_label_default,Center · 项目主张,Center · Project Thesis,
case.thinking.divider_default,PDF Document · 完整作品文档,PDF Document · Full case file,
case.p1_talent.thesis.title,不是页面优化 · 而是<em>组织决策系统</em>的重构,,⚠ preserve HTML tags
case.p1_talent.thesis.caption,"面对一套随业务规模化逐渐失效的人才管理系统，我把切入点从 UI 抛光重新放回信息流与决策流：管理者真正需要看到什么、理解什么、决策什么。覆盖绩效 / 盘点 / 晋升等核心 OD 场景，把""功能集合""重塑为""统一决策平台""。",,
case.p1_talent.outcome.scenarios_num,3,3,
case.p1_talent.outcome.scenarios_unit,类,,
case.p1_talent.outcome.scenarios_sub,绩效评价 · 人才盘点 · 晋升校准,,
case.p1_talent.outcome.stakeholders_num,4,4,
case.p1_talent.outcome.stakeholders_unit,角色,,
case.p1_talent.outcome.stakeholders_sub,普通员工 · 线上管理者 · BP / OD · 高管,,
case.p1_talent.outcome.iterations_sub,第四版评价流程 · 完整端到端,,
case.p1_talent.outcome.ia_num,1,1,
case.p1_talent.outcome.ia_unit,套,,
case.p1_talent.outcome.ia_sub,跨场景共享层级 · 状态语言 · 反馈规则,,
case.p1_talent.diagnosis.title,流程驱动型系统的<em>三重病</em>,,⚠ preserve HTML tags
case.p2_engine.key_result.title,选图准确性 <em>89%</em> · 比通用 AI 提升 <em>74%</em>,,⚠ preserve HTML tags
case.p2_engine.key_result.caption,在 200 条真实数据请求 (n = 200) 的盲测集合上，对比通用 AI 与本决策引擎的 Top-1 选图命中率。每条样本由 3 名设计师匿名标注一组合理图表，命中其一即视为正确。,,
case.p2_engine.versus.before_tag,Before · 通用 AI,,
case.p2_engine.versus.before_meta,baseline · GPT / Gemini 通用问答,,
case.p2_engine.versus.after_meta,v3.23 · 6 层管线 · 47 charts,,
case.p2_engine.versus.top1_label,Top-1 命中率,,
case.p2_engine.versus.before_notes[0],边界场景常用<b>饼/柱凑合</b>,,⚠ preserve HTML tags
case.p2_engine.versus.before_notes[1],"不区分""展示""与""分析""意图",,
case.p2_engine.versus.before_notes[2],忽略量纲一致性 / 标签长度,,
case.p2_engine.versus.after_notes[0],意图前置 → <b>蝴蝶 ↔ 哑铃</b>不再混用,,⚠ preserve HTML tags
case.p2_engine.versus.after_notes[1],STEP1 命中漏斗 / 桑基 / 甘特 / 弦图,,
case.p2_engine.versus.after_notes[2],量纲、标签、行业信号全部规则化,,
case.p2_engine.versus.diff_pct,相对 + 74%,,
case.p2_engine.kpi_strip.top3_label,Top-3 命中率,,
case.p2_engine.kpi_strip.top3_delta,+ 19<i>pp</i> · 主推 + 备选几乎不漏,,⚠ preserve HTML tags
case.p2_engine.kpi_strip.specialty_label,Specialty 边界场景,,
case.p2_engine.kpi_strip.specialty_delta,+ 54<i>pp</i> · 漏斗 / 桑基 / 甘特 / 弦图,,⚠ preserve HTML tags
case.p2_engine.panel.family_tag,By family · 按家族对比 Top-1,,
case.p2_engine.panel.family_meta,n = 200 · 盲测样本,,
case.p2_engine.panel.family_foot,"在「<b>Flow 流程</b>」类（漏斗 / 桑基 / 甘特 / 弦图）上提升最显著（<b>+ 55pp</b>），这正是通用 AI 最容易""用饼/柱凑合""的边界类。",,⚠ preserve HTML tags
case.p2_engine.panel.version_tag,Version timeline · 13 个版本的迭代曲线,,
case.p2_engine.panel.version_meta,v3.10 → v3.23,v3.10 → v3.23,
case.p2_engine.panel.version_foot,"覆盖图表数 <b>31 → 47</b>（+ 16），整体 Top-1 命中率 <b>71% → 89%</b>（+ 18pp）。每个版本对边界场景做一次精修，曲线呈""稳定爬坡""而非阶跃式跳跃 — 一种刻意的工程化节奏。",,⚠ preserve HTML tags
case.p2_engine.pipeline.title,六层判断管线 · <em>从意图到渲染</em>,,⚠ preserve HTML tags
case.p2_engine.pipeline.caption,点击任意一层，展开它在决策链路中的职责与产出。这是支撑上方 89% 命中率的核心管线。,,
case.p2_engine.sandbox.title,选图沙盘 · <em>跑一遍决策</em>,,⚠ preserve HTML tags
case.p2_engine.sandbox.caption,挑一个意图与一种数据结构，引擎给出主推与备选，并解释推理。,,
case.p2_engine.sandbox.intent_label,① 分析意图 · Intent,,
case.p2_engine.sandbox.shape_label,② 数据结构 · Shape,,
case.p2_engine.sandbox.primary_kind,主推 · Primary,,
case.p2_engine.sandbox.alt_kind,备选 · Alt,,
case.p2_engine.sandbox.default_reason,先选一个意图与数据结构。,,
case.p2_engine.atlas.title,47 图表图鉴 · <em>按意图分类</em>,,⚠ preserve HTML tags
case.p2_engine.atlas.caption,点击家族切换；图鉴里的每一格是一个图表的最简记号。,,
case.thinkData.1.kicker,Thinking · 01 · 人才全景评价,,
case.thinkData.1.title,从「流程系统」 → 走向<em>组织决策系统</em>,,⚠ preserve HTML tags
case.thinkData.1.caption,面对随业务规模化逐渐失效的人才管理系统，我把切入点从 UI 重新放回信息流与决策流：管理者在人才判断中真正需要看到什么、理解什么、决策什么。下面四个维度，是这套体系重构的支撑轴。,,
case.thinkData.1.divider,P.04 · Design Boards · 人才全景评价 · 双方案文档,,
case.thinkData.1.center_name,从功能集合到<em>统一决策平台</em>,,⚠ preserve HTML tags
case.thinkData.1.center_hint,让系统不只承载流程，更承载组织认知 · 管理标准 · 决策逻辑。,,
case.thinkData.1.axes[0].name,问题,,
case.thinkData.1.axes[0].sub,Diagnosis,Diagnosis,
case.thinkData.1.axes[0].title,三重病 · 流程驱动型系统的临床表现,,
case.thinkData.1.axes[0].body[0],页面结构不一致 / 信息散落于不同模块与表格 / 相似场景缺乏统一表达——管理者完成一次绩效判断需要频繁跨页切换、比对、记忆。,,
case.thinkData.1.axes[0].body[1],"关键决策信息被淹没在大量低价值内容中：操作成本高之外，更严重的是组织的""信息流""和""决策流""开始失效。",,
case.thinkData.1.axes[0].body[2],"本质问题不是界面复杂，而是缺少面向""组织决策""的信息架构与行为逻辑——继续做 UI 抛光只能延缓崩坏，不能解决系统命题。",,
case.thinkData.1.axes[0].tags[0],流程驱动,,
case.thinkData.1.axes[0].tags[1],信息淹没,,
case.thinkData.1.axes[0].tags[2],行为不确定,,
case.thinkData.1.axes[0].tags[3],决策流失效,,
case.thinkData.1.axes[0].leaves[0],页面 / 表格散落,,
case.thinkData.1.axes[0].leaves[1],关键信息被淹没,,
case.thinkData.1.axes[0].leaves[2],行为不确定性,,
case.thinkData.1.axes[1].name,框架,,
case.thinkData.1.axes[1].sub,Reframe,Reframe,
case.thinkData.1.axes[1].title,从业务目标反推系统结构 · 不再继续堆叠流程,,
case.thinkData.1.axes[1].body[0],"把""组织校准 / 风险识别 / 绩效判断 / 人才发展""四类核心 OD 目标作为信息组织依据，而非沿用历史流程版图。",,
case.thinkData.1.axes[1].body[1],梳理绩效评价、人才盘点、团队校准等多场景，重新建立统一的信息层级、状态语言与交互规则。,,
case.thinkData.1.axes[1].body[2],"将""功能集合""——零散 SaaS 模块——转变为""统一决策平台""：跨绩效 / 盘点 / 晋升场景共享同一套设计基础。",,
case.thinkData.1.axes[1].tags[0],目标反推,,
case.thinkData.1.axes[1].tags[1],OD 四目标,,
case.thinkData.1.axes[1].tags[2],统一语言,,
case.thinkData.1.axes[1].tags[3],决策平台,,
case.thinkData.1.axes[1].leaves[0],组织校准,,
case.thinkData.1.axes[1].leaves[1],风险识别,,
case.thinkData.1.axes[1].leaves[2],绩效 / 人才发展,,
case.thinkData.1.axes[2].name,架构,,
case.thinkData.1.axes[2].sub,Architecture,Architecture,
case.thinkData.1.axes[2].title,"提升信噪比 · 围绕""人""与""组织""重组信息",,
case.thinkData.1.axes[2].body[0],设计重点不是展示更多信息，而是提升信息信噪比：结果分布、风险提示、历史趋势、评价偏差等关键内容前置。,,
case.thinkData.1.axes[2].body[1],"原本割裂的表格数据，被重组为围绕""人""和""组织""的统一视图——降低跨流程理解成本。",,
case.thinkData.1.axes[2].body[2],通过聚合、分层与可视化方式让管理者快速建立判断；档案页吸纳明细，主表呈现群体分布与异常分布。,,
case.thinkData.1.axes[2].tags[0],信噪比,,
case.thinkData.1.axes[2].tags[1],聚合 · 分层,,
case.thinkData.1.axes[2].tags[2],人 · 组织视图,,
case.thinkData.1.axes[2].tags[3],档案页 / 主表,,
case.thinkData.1.axes[2].leaves[0],关键信息前置,,
case.thinkData.1.axes[2].leaves[1],人 · 组织统一视图,,
case.thinkData.1.axes[2].leaves[2],群体分布可视化,,
case.thinkData.1.axes[3].name,行为,,
case.thinkData.1.axes[3].sub,Behaviour,Behaviour,
case.thinkData.1.axes[3].title,降低不确定性 · 渐进式披露与一致性反馈,,
case.thinkData.1.axes[3].body[0],"解决复杂系统中的""行为不确定性""：筛选会影响哪些区域、当前状态意味着什么、下一步该做什么——重新设计为一致性的系统反馈机制。",,
case.thinkData.1.axes[3].body[1],通过渐进式披露策略：让用户优先处理关键任务，再逐步深入查看细节，避免被无关信息打断。,,
case.thinkData.1.axes[3].body[2],在高密度信息环境中降低认知负荷，提高管理者处理效率——并为后续人才管理体系的持续演进，提供统一框架。,,
case.thinkData.1.axes[3].tags[0],行为反馈,,
case.thinkData.1.axes[3].tags[1],渐进披露,,
case.thinkData.1.axes[3].tags[2],认知负荷,,
case.thinkData.1.axes[3].tags[3],可持续演进,,
case.thinkData.1.axes[3].leaves[0],一致性反馈,,
case.thinkData.1.axes[3].leaves[1],渐进披露,,
case.thinkData.1.axes[3].leaves[2],可持续演进,,
case.thinkData.2.kicker,Thinking · 02 · 数据图表选型系统,,
case.thinkData.2.title,图·择 — 从<em>直觉</em> → 走向<em>可执行的规则</em>,,⚠ preserve HTML tags
case.thinkData.2.caption,当面对一份数据，多数设计师是凭感觉选图。我花了半年时间，把这份感觉抽象为 47 条可执行规则，并最终落地为一个 AI Skill 决策引擎。下面是这套思考的四个支撑轴。,,
case.thinkData.2.divider,P.03 · Decision Engine · 交互探索 · 47 chart types,,
case.thinkData.2.center_name,图表选型的<em>决策引擎</em>,,⚠ preserve HTML tags
case.thinkData.2.center_hint,从问题出发 · 以系统作答 · 用工具落地 · 持续迭代。,,
case.thinkData.2.axes[0].name,问题,,
case.thinkData.2.axes[0].sub,Problem,Problem,
case.thinkData.2.axes[0].title,一个反复出现的坏决策 · 选图凭感觉的代价,,
case.thinkData.2.axes[0].body[0],"""戈尔诉布什蝴蝶选票""——一张设计失误的表单改变了总统选举结果，证明可视化错配是会带来真实代价的设计事故。",,
case.thinkData.2.axes[0].body[1],设计师日常面临三类典型困境：饼图还是柱图无标准可依、数据结构与图表不匹配被前端打回、忽略受众认知差异导致看不懂。,,
case.thinkData.2.axes[0].body[2],项目动机由此确立：要做的不是一张图表索引，而是一套能被复用、被传承、被工具调用的系统化决策框架。,,
case.thinkData.2.axes[0].tags[0],坏决策案例,,
case.thinkData.2.axes[0].tags[1],行业痛点,,
case.thinkData.2.axes[0].tags[2],量化错误,,
case.thinkData.2.axes[0].tags[3],动机定义,,
case.thinkData.2.axes[0].leaves[0],蝴蝶选票事件,,
case.thinkData.2.axes[0].leaves[1],三类典型困境,,
case.thinkData.2.axes[0].leaves[2],系统 vs 索引,,
case.thinkData.2.axes[1].name,框架,,
case.thinkData.2.axes[1].sub,Framework,Framework,
case.thinkData.2.axes[1].title,四个维度的最优交集 · 选图不是选形状,,
case.thinkData.2.axes[1].body[0],选图不是选形状，而是选「分析意图 × 数据结构 × 受众 × 场景」的最优交集。,,
case.thinkData.2.axes[1].body[1],分析目标分为构成 / 趋势 / 分布 / 关系 / 流程五大家族；数据结构由维度 × 度量矩阵决定物理可画性；受众分层（决策者 / 执行 / 分析师）决定认知负荷上限；场景（描述事实 / 分析挖掘 / 表达观点）决定图表的功能边界。,,
case.thinkData.2.axes[1].body[2],研究路径上引用了约翰·斯诺霍乱地图、南丁格尔玫瑰图、麦肯锡静态叙事与 OurWorldInData 可交互探索作为对照标杆。,,
case.thinkData.2.axes[1].tags[0],分析意图,,
case.thinkData.2.axes[1].tags[1],数据结构,,
case.thinkData.2.axes[1].tags[2],受众画像,,
case.thinkData.2.axes[1].tags[3],应用场景,,
case.thinkData.2.axes[1].tags[4],麦肯锡 / OWID,,
case.thinkData.2.axes[1].leaves[0],五大分析意图,,
case.thinkData.2.axes[1].leaves[1],维度 × 度量矩阵,,
case.thinkData.2.axes[1].leaves[2],受众分层与场景,,
case.thinkData.2.axes[2].name,引擎,,
case.thinkData.2.axes[2].sub,Engine,Engine,
case.thinkData.2.axes[2].title,决策树 v3.23.0 · 把专家直觉变成可复用规则,,
case.thinkData.2.axes[2].body[0],六层判断结构：INTENT 意图层 → PRE 预处理层 → STEP1 特殊结构优先 → STEP2/2b 通用结构 → STEP3/3b 边界场景 → 渲染层（主推 + 备选 Tab）。,,
case.thinkData.2.axes[2].body[1],"三个核心设计洞见：① 「意图声明层」让""展示一下"" vs ""分析变化""输出完全不同的图表（蝴蝶图 vs 哑铃图），原则是宁可少分析、不强加结论；② 「量纲一致性优先」——差异 ≥ 10 倍必须双轴或拆分，避免率值被压缩失效；③ 「标签长度规则优先于类别数规则」——4-6 类不再无脑用环形图，长标签强制水平柱。",,
case.thinkData.2.axes[2].body[2],从 v3.10.0 的 31 种图表覆盖、到 v3.23.0 的 47 种、共 13 个小版本持续打磨边界场景。,,
case.thinkData.2.axes[2].tags[0],INTENT 层,,
case.thinkData.2.axes[2].tags[1],量纲一致性,,
case.thinkData.2.axes[2].tags[2],标签优先级,,
case.thinkData.2.axes[2].tags[3],v3.10 → v3.23,,
case.thinkData.2.axes[2].leaves[0],INTENT 意图层,,
case.thinkData.2.axes[2].leaves[1],量纲一致性规则,,
case.thinkData.2.axes[2].leaves[2],标签长度优先级,,
case.thinkData.2.axes[3].name,落地,,
case.thinkData.2.axes[3].sub,Output,Output,
case.thinkData.2.axes[3].title,从研究到工具 · 用<em>定量数据</em>验证选图准确性,,⚠ preserve HTML tags
case.thinkData.2.axes[3].body[0],产物一：Flourish 交互式选图指南——设计师与非专业受众均可上手，把决策路径可视化。,,
case.thinkData.2.axes[3].body[1],产物二：AI Skill 集成版——决策树封装为可调用的 skill 模块，支持 ECharts / Chart.js / SVG 三套渲染。,,
case.thinkData.2.axes[3].body[2],量化验证：在 200 条真实数据请求的盲测集上，Top-1 命中率从通用 AI 的 51% 提升到 89%（+ 38pp，相对提升 74%）；Top-3 命中率达 97%；漏斗 / 桑基 / 甘特 / 弦图等边界场景从 32% 提升到 86%。,,
case.thinkData.2.axes[3].body[3],迭代曲线：13 个版本（v3.10 → v3.23）覆盖图表数 31 → 47，准确率 71% → 89%——稳定爬坡，证明这是工程化的方法论而不是直觉的偶然成功。,,
case.thinkData.2.axes[3].tags[0],Top-1 89%,,
case.thinkData.2.axes[3].tags[1],+ 38pp vs 通用 AI,,
case.thinkData.2.axes[3].tags[2],边界场景 + 54pp,,
case.thinkData.2.axes[3].tags[3],47 charts · v3.23,,
case.thinkData.2.axes[3].leaves[0],Top-1 命中 89%,,
case.thinkData.2.axes[3].leaves[1],Flow 边界 + 55pp,,
case.thinkData.2.axes[3].leaves[2],13 版迭代曲线,,
case.thinkData.3.kicker,Thinking · 03 · 顺丰同城,,
case.thinkData.3.title,从「界面优化」 → 走向<em>履约系统的体验治理</em>,,⚠ preserve HTML tags
case.thinkData.3.caption,"我并未将设计仅理解为""界面优化""或""流程美化""，而是将其视为贯穿履约链路、连接用户、骑士与平台效率之间的重要经营能力。下面是这套思考的四个支撑轴。",,
case.thinkData.3.divider,P.01 · PDF Document · 顺丰同城 完整作品,,
case.thinkData.3.center_name,履约系统的<em>体验治理</em>,,⚠ preserve HTML tags
case.thinkData.3.center_hint,以用户感知为入口，以平台效率为中枢；推动从「页面体验」走向「业务系统体验」。,,
case.thinkData.3.axes[0].name,业务增长,,
case.thinkData.3.axes[0].sub,Growth,Growth,
case.thinkData.3.axes[0].title,业务增长 · 设计驱动转化,,
case.thinkData.3.axes[0].body[0],通过地址复用、地图选址、增值服务推荐等设计策略，推动用户转化与下单效率提升。,,
case.thinkData.3.axes[0].body[1],触点包装、小费激励、运营活动模板化，构建用户增长与服务质量之间的正向循环。,,
case.thinkData.3.axes[0].tags[0],地址复用,,
case.thinkData.3.axes[0].tags[1],地图选址,,
case.thinkData.3.axes[0].tags[2],增值推荐,,
case.thinkData.3.axes[0].tags[3],小费激励,,
case.thinkData.3.axes[0].tags[4],运营模板,,
case.thinkData.3.axes[0].leaves[0],地址复用与地图选址,,
case.thinkData.3.axes[0].leaves[1],增值服务推荐,,
case.thinkData.3.axes[0].leaves[2],触点包装与活动模板,,
case.thinkData.3.axes[1].name,履约效率,,
case.thinkData.3.axes[1].sub,Efficiency,Efficiency,
case.thinkData.3.axes[1].title,履约效率 · 让骑士在复杂环境中更高效决策,,
case.thinkData.3.axes[1].body[0],骑士侧围绕「任务理解、异常处理、路径效率」做交互重构。,,
case.thinkData.3.axes[1].body[1],通过订单关系可视化、路径规划、信息标签化等能力，让骑士在多任务、多状态下快速做出正确决策。,,
case.thinkData.3.axes[1].tags[0],订单可视化,,
case.thinkData.3.axes[1].tags[1],路径规划,,
case.thinkData.3.axes[1].tags[2],信息标签化,,
case.thinkData.3.axes[1].tags[3],异常处理,,
case.thinkData.3.axes[1].leaves[0],订单关系可视化,,
case.thinkData.3.axes[1].leaves[1],路径规划,,
case.thinkData.3.axes[1].leaves[2],信息标签化与异常处理,,
case.thinkData.3.axes[2].name,用户信任,,
case.thinkData.3.axes[2].sub,Trust,Trust,
case.thinkData.3.axes[2].title,用户信任 · 提速下单 · 透明履约 · 强化价值感知,,
case.thinkData.3.axes[2].body[0],用户侧围绕「提速下单、透明履约、强化价值感知」做体验优化。,,
case.thinkData.3.axes[2].body[1],降低认知成本、提升过程确定性，是这一切的底层目标——不仅是体验，更是平台与用户长期信任关系的资产沉淀。,,
case.thinkData.3.axes[2].tags[0],提速下单,,
case.thinkData.3.axes[2].tags[1],透明履约,,
case.thinkData.3.axes[2].tags[2],过程确定性,,
case.thinkData.3.axes[2].tags[3],价值感知,,
case.thinkData.3.axes[2].leaves[0],提速下单,,
case.thinkData.3.axes[2].leaves[1],透明履约,,
case.thinkData.3.axes[2].leaves[2],价值感知强化,,
case.thinkData.3.axes[3].name,平台长期价值,,
case.thinkData.3.axes[3].sub,Long-term,Long-term,
case.thinkData.3.axes[3].title,平台长期价值 · 系统治理与架构升级,,
case.thinkData.3.axes[3].body[0],推动设计统一与架构升级：品牌语言统一、组件规范沉淀、复杂业务可视化表达、高频客诉专项治理。,,
case.thinkData.3.axes[3].body[1],让设计能力具备可复制、可扩展、可规模化协同的特征——为平台长期价值持续供给。,,
case.thinkData.3.axes[3].tags[0],品牌统一,,
case.thinkData.3.axes[3].tags[1],组件规范,,
case.thinkData.3.axes[3].tags[2],客诉治理,,
case.thinkData.3.axes[3].tags[3],可视化表达,,
case.thinkData.3.axes[3].leaves[0],品牌语言统一,,
case.thinkData.3.axes[3].leaves[1],组件规范沉淀,,
case.thinkData.3.axes[3].leaves[2],客诉专项治理,,
case.thinkData.4.kicker,Thinking · 04 · 腾讯地图,,
case.thinkData.4.title,从「需求响应」 → 走向<em>平台能力建设</em>,,⚠ preserve HTML tags
case.thinkData.4.caption,在复杂业务生态与高频使用场景中，建立一套具备长期演进能力的体验系统。下面四个轴，是我推动这件事的方法论。,,
case.thinkData.4.divider,P.02 · PDF Document · 腾讯地图 完整作品,,
case.thinkData.4.center_name,具备<em>长期演进能力</em>的体验系统,,⚠ preserve HTML tags
case.thinkData.4.center_hint,统一认知 · 降低理解成本 · 增强信息可信度 · 提升一致性与协同。,,
case.thinkData.4.axes[0].name,统一认知,,
case.thinkData.4.axes[0].sub,Coherence,Coherence,
case.thinkData.4.axes[0].title,统一认知 · 设计系统底层方法论,,
case.thinkData.4.axes[0].body[0],组件库 0-1 建设：从业务场景穷举、设计规则抽象、组件逻辑治理，到研发实现标准的拉齐。,,
case.thinkData.4.axes[0].body[1],把分散、重复、缺乏统一认知的交互资产，沉淀为可复用、可扩展、可协同的设计基础设施。,,
case.thinkData.4.axes[0].tags[0],场景穷举,,
case.thinkData.4.axes[0].tags[1],规则抽象,,
case.thinkData.4.axes[0].tags[2],组件治理,,
case.thinkData.4.axes[0].tags[3],研发拉齐,,
case.thinkData.4.axes[0].leaves[0],业务场景穷举,,
case.thinkData.4.axes[0].leaves[1],设计规则抽象,,
case.thinkData.4.axes[0].leaves[2],组件 / 研发拉齐,,
case.thinkData.4.axes[1].name,降低理解成本,,
case.thinkData.4.axes[1].sub,Clarity,Clarity,
case.thinkData.4.axes[1].title,降低理解成本 · 多场景多状态的系统化梳理,,
case.thinkData.4.axes[1].body[0],覆盖多业务线、多场景与多状态，对体验做穷举式梳理；让任何业务方在任意状态下都能找到「正确表达」。,,
case.thinkData.4.axes[1].body[1],提升团队内部协作效率，并降低后续业务扩展中的设计与研发成本。,,
case.thinkData.4.axes[1].tags[0],多业务线,,
case.thinkData.4.axes[1].tags[1],多状态,,
case.thinkData.4.axes[1].tags[2],协作效率,,
case.thinkData.4.axes[1].tags[3],扩展成本,,
case.thinkData.4.axes[1].leaves[0],状态穷举,,
case.thinkData.4.axes[1].leaves[1],多业务一致性,,
case.thinkData.4.axes[1].leaves[2],降低扩展成本,,
case.thinkData.4.axes[2].name,增强可信度,,
case.thinkData.4.axes[2].sub,Trust,Trust,
case.thinkData.4.axes[2].title,增强可信度 · 微信位置承接 · 用户反馈,,
case.thinkData.4.axes[2].body[0],面对用户对地图准确性、处理结果透明度的天然敏感，从用户认知路径、场景心智与信息传递效率出发，重新梳理人与平台之间的信任关系。,,
case.thinkData.4.axes[2].body[1],贴合微信原生体验的视觉与交互语言、优化加载逻辑与过程反馈，强化对腾讯生态内部一致性的感知。,,
